max,min,mean,sd,rms,skewness,kurtosis,crest,form,fault
25.51719,-32.18819,-0.233910702,1.917028785,1.931167349,-0.661602988,44.53620571,13.21334995,-8.256002549,inner race
29.65207,-41.8331,-0.237827884,1.744434745,1.76050024,-0.462325777,64.12914411,16.84297981,-7.40241307,inner race
24.35413,-18.50401,-0.228954254,1.595095471,1.611377542,0.372335152,21.01773721,15.11385716,-7.037989084,inner race
25.29593,-23.81058,-0.2184077,1.887255253,1.899773013,-0.025509404,34.24829348,13.31523809,-8.698287732,inner race
39.31665,-42.97734,-0.229513379,1.974698999,1.987910354,-0.048985183,70.36903697,19.77787877,-8.661413815,inner race
31.87606,-30.70944,-0.238542478,1.885317258,1.900270369,0.37971697,48.33351533,16.77448669,-7.966171827,inner race
39.22412,-45.97387,-0.226872726,1.907411441,1.920777565,-0.481291435,79.20877998,20.42095905,-8.466322077,inner race
19.60332,-20.34458,-0.235938126,1.541120457,1.559012874,-0.029363582,21.6410078,12.57418738,-6.60771915,inner race
39.31665,-24.23158,-0.224575539,1.818931351,1.83266738,-0.312969092,29.770893,21.45323829,-8.160583228,inner race
32.89919,-27.85515,-0.2323436,1.739785131,1.755159142,0.17046343,39.15329249,18.74427749,-7.554153157,inner race
25.86409,-36.9661,-0.224454797,1.901831959,1.914952569,-0.405951987,42.52965768,13.50638675,-8.531573372,inner race
26.09361,-26.75532,-0.230864954,1.664438231,1.680304255,0.065713485,35.03829881,15.52909833,-7.27829939,inner race
13.37988,-16.00915,-0.21948758,1.608794821,1.623377226,-0.338117616,18.19703483,8.242003022,-7.396214516,inner race
18.99562,-17.24164,-0.223210381,1.753468022,1.767545405,0.269482873,20.99771973,10.74689224,-7.918741936,inner race
17.81211,-17.1759,-0.233480439,1.680818767,1.696888156,0.618006357,19.70354894,10.49692635,-7.267795817,inner race
20.01948,-23.09632,-0.22365214,1.825014013,1.838591545,0.580671896,24.60971636,10.88848693,-8.220764387,inner race
21.19466,-20.30498,-0.218792346,1.761420233,1.774883878,0.614972195,23.28310775,11.94143474,-8.112184497,inner race
21.21081,-20.32775,-0.220509809,1.817038554,1.830294661,0.378948978,25.3902009,11.58874057,-8.300286802,inner race
27.49819,-17.39579,-0.209864024,1.71004124,1.722800123,0.718129152,27.05039225,15.96133505,-8.209125562,inner race
22.01659,-16.67724,-0.231022305,1.780953464,1.795801278,0.698044476,24.14168253,12.26003693,-7.773280935,inner race
19.37918,-21.27449,-0.231206798,1.80764102,1.822292607,0.541940009,25.58314264,10.63450509,-7.881656676,inner race
27.49819,-18.17629,-0.226874772,1.700633184,1.71562944,0.583412249,25.43914612,16.02804741,-7.562010629,inner race
24.39562,-22.70505,-0.227581266,1.808985873,1.823170431,0.937776693,29.8085624,13.38087739,-8.011074301,inner race
20.25754,-18.89241,-0.220160966,1.725199656,1.739119512,0.416061434,23.18786305,11.64815866,-7.899309067,inner race
26.94283,-17.16327,-0.219257014,1.760532484,1.774060308,1.169781247,29.37082562,15.18709927,-8.091236291,inner race
17.14495,-16.16294,-0.207452057,1.92010742,1.930897366,0.272116509,20.34293806,8.879265311,-9.307680041,inner race
19.83259,-17.36663,-0.222917995,1.811345211,1.82493575,0.847136076,24.34254829,10.8675552,-8.186578881,inner race
19.53393,-26.5883,-0.218426578,1.800273989,1.81340192,0.574786434,28.36393871,10.77198044,-8.302112032,inner race
19.75016,-20.05769,-0.219478167,1.82801096,1.841063895,0.87617048,25.5336898,10.72757988,-8.388369181,inner race
22.93193,-24.28926,-0.21931361,1.808559951,1.821734059,0.971604301,30.02155436,12.58796798,-8.306525334,inner race
19.00524,-25.6082,-0.209659894,1.805030911,1.817091729,0.560975366,27.68417244,10.45915278,-8.666854195,inner race
18.40333,-17.79022,-0.227069123,1.802960108,1.817128132,0.947295187,25.84843957,10.12770078,-8.002532905,inner race
20.95763,-24.78907,-0.221971614,1.781745478,1.795445292,0.813491899,30.00891799,11.67266421,-8.088625663,inner race
18.43196,-20.32389,-0.22360473,1.896304716,1.909364027,0.954036564,25.22745736,9.653455152,-8.539014459,inner race
22.93193,-22.32388,-0.224107025,1.790280359,1.804178658,1.122379208,29.97000153,12.71045409,-8.050522535,inner race
20.95988,-20.2158,-0.224287544,1.80540848,1.819212208,0.763694317,28.90316493,11.52140465,-8.111071063,inner race
22.30154,-18.97875,-0.221804088,1.820351858,1.83373984,1.0011324,27.10121902,12.16177972,-8.267385233,inner race
22.97628,-23.66124,-0.231566479,1.816762654,1.831385957,0.892780142,29.37014229,12.54584262,-7.908683351,inner race
20.46073,-16.11737,-0.218263356,2.21878126,2.229046275,1.125708664,21.16922293,9.179140978,-10.21264548,inner race
20.72775,-17.49451,-0.219359198,1.697989451,1.712029897,1.065349594,29.82373544,12.10711918,-7.804687064,inner race
21.58543,-17.05103,-0.215010636,1.67087028,1.684578409,1.127430438,28.22119022,12.8135502,-7.834860806,inner race
21.22218,-15.46148,-0.219566926,1.778876176,1.792301979,1.423585313,31.42990417,11.84073903,-8.16289598,inner race
21.43051,-15.88683,-0.223136537,1.683233662,1.697889681,1.147534179,27.96546347,12.62185066,-7.609196157,inner race
20.70707,-20.24982,-0.21691805,1.730934898,1.7444023,1.163528272,31.45654708,11.87058169,-8.041757251,inner race
20.93955,-15.31539,-0.210286917,1.72911035,1.741778987,1.386241042,28.79696596,12.02193284,-8.282869006,inner race
20.13522,-16.01296,-0.221123521,1.674744709,1.689210383,1.118954956,27.87596697,11.91990068,-7.639216184,inner race
21.25775,-18.93827,-0.224492769,1.769156745,1.783269964,1.449220621,32.26056657,11.92065724,-7.943551919,inner race
21.58543,-14.9627,-0.219549632,1.671631604,1.685918563,1.315015947,29.89921677,12.80336458,-7.678986043,inner race
22.7577,-20.63412,-0.21908193,1.775729671,1.789119892,1.348624456,31.48062548,12.72005309,-8.166442064,inner race
21.5675,-14.83994,-0.210187677,1.737131037,1.749729016,1.22421623,28.08278381,12.3261944,-8.324603228,inner race
23.05896,-17.58812,-0.217742244,1.836594696,1.849381159,1.510860502,31.58699299,12.46847351,-8.493442172,inner race
15.26267,-12.208,-0.227720536,1.502340587,1.519202178,1.106047755,25.03540713,10.0465035,-6.671344637,inner race
22.88264,-19.83594,-0.214474776,1.904703313,1.916661633,1.010481947,32.89069723,11.93880005,-8.936536358,inner race
23.72603,-22.69226,-0.214020583,2.052434114,2.06347754,0.841683563,34.70535105,11.49808008,-9.641491092,inner race
21.99797,-20.838,-0.210144401,2.016654433,2.027490287,1.284384453,33.43548203,10.84985223,-9.648081422,inner race
27.38168,-20.09009,-0.199627772,1.894707344,1.905116272,1.102065635,36.21913195,14.37270806,-9.543342866,inner race
23.77163,-20.58817,-0.220017129,2.143804984,2.154976649,1.092892379,34.23929614,11.03103832,-9.794585813,inner race
22.32431,-20.87486,-0.208467033,1.863214788,1.8747636,0.995785998,34.17732482,11.9078,-8.993093892,inner race
22.68901,-24.31645,-0.211400889,2.059276323,2.070013508,1.176770629,35.47521081,10.96080287,-9.791886502,inner race
24.52143,-20.37775,-0.212743616,2.068394877,2.079221174,1.241873296,34.32493428,11.79356497,-9.773365783,inner race
27.38168,-18.41139,-0.206865475,1.953853389,1.964692918,0.938899871,31.99432889,13.9368752,-9.497442313,inner race
22.91833,-20.82365,-0.202323821,2.095177682,2.104836962,1.376133322,34.46571672,10.88841103,-10.40330766,inner race
23.69063,-21.9557,-0.206994009,2.038965957,2.049361424,1.116240375,30.51637356,11.56000583,-9.90058328,inner race
23.78819,-21.07313,-0.214261081,2.118957047,2.129674297,1.411563553,34.68431443,11.16987233,-9.939622658,inner race
13.87552,-14.26398,-0.215857556,1.5029161,1.518038855,0.927354124,23.6942542,9.1404248,-7.032595398,inner race
5.151977,-5.547584,-0.189900045,0.971558067,0.98990325,0.076669197,1.47953773,5.204525795,-5.212759425,outer race
5.741868,-5.643458,-0.190716044,0.967307218,0.985889391,0.09641153,1.798526656,5.824048878,-5.169409816,outer race
5.941406,-5.471866,-0.189884008,0.972166999,0.99049778,0.111842683,1.603084165,5.998404159,-5.216330704,outer race
5.677471,-5.783375,-0.187067686,0.962351734,0.980325458,0.11104355,1.754844601,5.791414427,-5.240485283,outer race
5.515453,-5.811321,-0.193254811,0.986674902,1.005382344,0.078250139,1.628935496,5.48592586,-5.202366454,outer race
5.371365,-5.54255,-0.182630414,0.984386528,1.001144322,0.146961478,1.446324152,5.365225455,-5.481805042,outer race
6.335486,-5.499972,-0.184575857,0.970426738,0.987784301,0.161528578,1.717804875,6.413835487,-5.351644118,outer race
5.776619,-5.72128,-0.185484519,0.973386835,0.990861989,0.096984591,1.567855427,5.829892624,-5.34201989,outer race
6.335486,-5.25382,-0.189697645,0.974531084,0.992782397,0.096992418,1.484602,6.381545459,-5.2334988,outer race
4.734171,-5.570411,-0.17709747,0.964798494,0.980878218,0.053119359,1.256304458,4.826461548,-5.538634845,outer race
5.244431,-5.381652,-0.183979622,0.966963801,0.984271089,0.072579974,1.553309857,5.328238389,-5.349891886,outer race
5.312396,-6.150702,-0.183017228,0.988622632,1.005379812,0.131965758,1.577427418,5.283969239,-5.49336159,outer race
3.973477,-4.109579,-0.195741893,0.912931476,0.933500532,0.075534538,0.900282719,4.256534264,-4.769038023,outer race
5.860458,-5.746666,-0.190301158,0.966277847,0.984799269,0.022693649,2.183056873,5.950916276,-5.174951541,outer race
5.478843,-5.792592,-0.191232069,0.978001711,0.996482486,0.072509222,2.504823401,5.498182937,-5.210854495,outer race
